Attendance,StudyHours,AssignmentScore,PreviousGPA,ParticipationLevel,InternetUsage,SleepHours,FamilySupportIndex,ExtraCurricular,FinalExamScore,PassFail,PerformanceCategory
98,3.1,93,9.1,2,1.66,7.65,1,0,73.67,Pass,High
88,9.2,58,7.41,1,3.35,8.35,4,1,80.86,Pass,High
74,8.99,70,9.3,2,2.08,5.86,5,1,86.12,Pass,High
67,6.78,73,8.06,4,5.6,5.48,3,0,70.83,Pass,High
80,6.8,83,7.85,1,5.54,8.41,1,0,72.97,Pass,High
98,7.32,71,6.18,4,3.01,5.63,1,0,75.66,Pass,High
78,3.4,52,7.16,2,1.97,8.9,1,1,59.03,Pass,Medium
82,9.32,61,9.72,1,4.42,8.37,3,1,84.85,Pass,High
70,5.35,77,7.57,2,0.22,7.0,4,0,72.69,Pass,High
70,5.07,79,8.19,1,2.85,8.93,1,0,67.66,Pass,Medium
83,6.15,75,8.13,2,2.02,5.39,5,0,76.13,Pass,High
95,2.38,97,8.36,4,5.52,6.21,1,1,69.94,Pass,Medium
99,3.33,70,6.25,4,0.07,7.55,4,1,70.6,Pass,High
83,7.9,77,7.45,2,3.32,6.4,3,0,78.3,Pass,High
62,2.66,75,8.89,1,4.44,8.71,1,0,58.89,Pass,Medium
81,6.83,82,6.8,3,2.91,5.26,1,1,74.26,Pass,High
61,3.96,70,6.81,4,0.51,7.2,5,1,67.27,Pass,Medium
83,5.11,84,6.04,4,5.83,7.36,5,0,70.47,Pass,High
89,4.31,83,7.75,3,3.11,7.61,1,0,70.9,Pass,High
97,4.85,90,9.53,2,3.69,6.02,1,0,75.77,Pass,High
61,7.75,100,6.21,1,1.42,6.46,5,1,78.7,Pass,High
80,4.38,96,6.76,2,2.9,8.37,4,0,71.81,Pass,High
92,6.53,67,7.24,5,2.57,5.78,2,1,76.96,Pass,High
71,5.81,60,8.93,4,0.45,8.31,2,1,74.09,Pass,High
81,7.31,72,8.56,5,0.64,7.25,1,0,80.62,Pass,High
84,9.49,97,7.66,4,5.02,8.05,5,0,91.07,Pass,High
86,7.86,71,9.04,4,1.44,7.85,3,1,87.03,Pass,High
87,3.72,66,8.44,5,1.17,5.83,3,0,69.19,Pass,Medium
75,2.25,54,9.58,5,3.03,7.28,2,1,63.87,Pass,Medium
74,4.1,93,9.27,2,4.61,8.47,4,0,73.84,Pass,High
62,6.76,60,7.01,5,0.37,6.73,2,0,69.55,Pass,Medium
96,2.41,79,7.09,2,3.46,8.87,1,0,62.6,Pass,Medium
66,5.97,64,6.5,2,0.72,6.81,4,0,68.38,Pass,Medium
80,6.77,76,7.35,2,0.22,5.57,3,1,76.28,Pass,High
68,4.67,84,10.0,4,0.32,6.56,5,1,81.15,Pass,High
98,8.17,82,7.62,4,5.0,8.81,5,1,88.2,Pass,High
77,2.85,69,6.88,5,0.71,6.28,1,0,61.79,Pass,Medium
63,2.6,65,9.05,4,0.27,8.47,2,1,65.14,Pass,Medium
84,7.83,83,8.17,5,2.63,8.53,1,1,85.04,Pass,High
73,5.96,51,6.6,4,5.06,6.4,5,1,67.62,Pass,Medium
68,7.51,84,7.52,1,1.57,5.33,3,0,75.05,Pass,High
85,5.48,89,7.66,1,2.53,7.9,5,1,77.99,Pass,High
61,3.97,77,9.02,5,0.24,6.25,4,0,70.54,Pass,High
79,8.55,96,6.08,4,2.69,8.13,5,0,86.43,Pass,High
87,8.4,88,7.08,4,3.47,6.77,5,1,87.63,Pass,High
66,7.56,55,8.07,2,3.43,6.94,4,0,71.71,Pass,High
67,4.18,58,7.08,3,1.99,8.11,2,1,63.07,Pass,Medium
94,6.72,69,8.51,5,1.89,6.53,5,1,85.15,Pass,High
73,4.89,50,7.93,3,0.64,6.77,1,1,64.84,Pass,Medium
76,2.73,57,7.45,3,2.2,6.5,5,1,62.7,Pass,Medium
95,9.34,72,9.8,5,0.6,6.47,1,1,92.64,Pass,High
99,3.09,52,8.53,4,4.6,7.1,4,0,66.82,Pass,Medium
63,9.6,53,6.52,5,5.8,8.24,5,1,78.28,Pass,High
61,5.57,74,8.24,3,5.82,6.45,4,0,67.96,Pass,Medium
65,3.48,96,9.12,4,5.19,7.1,4,1,71.6,Pass,High
63,6.34,87,8.83,1,3.6,7.68,2,1,74.56,Pass,High
88,8.98,64,6.69,5,4.21,6.08,5,1,83.14,Pass,High
77,7.86,70,9.89,5,1.71,6.11,1,0,82.07,Pass,High
85,8.45,84,7.8,4,3.78,8.73,1,0,83.95,Pass,High
93,7.27,95,6.64,1,2.73,7.89,5,0,82.79,Pass,High
69,7.54,63,6.72,1,2.89,7.31,2,0,68.86,Pass,Medium
95,8.79,85,6.39,4,4.55,7.59,2,1,85.85,Pass,High
73,4.0,61,9.21,2,1.69,5.12,2,1,65.8,Pass,Medium
