Attendance,StudyHours,AssignmentScore,PreviousGPA,Participation,InternetUsage,SleepHours,FamilySupport,ExtraCurricular,FinalScore,PassFail,PerformanceCategory
88,4.5700021928167835,93,8.915083186583665,2,2.9061823711911963,5.546670929223948,1,0,56.20145108764422,1,Medium
78,6.039578720725125,84,8.575193594253419,5,3.5091800019684385,8.20818136186265,3,0,62.90869321262149,1,Medium
64,5.022883474625301,45,7.967428814879673,2,7.8199700656711455,4.086237710666666,2,1,41.603060126211616,1,Medium
92,5.398606371128367,56,9.478633629630863,4,6.46292516547185,4.297075778213761,1,0,51.67434804045568,1,Medium
57,4.863574819956078,98,7.916332589065227,1,5.899279554495569,7.596151522814816,1,0,49.08127002110358,1,Medium
70,4.089551770854932,84,7.334839999818054,4,4.296330517935794,6.050047442910724,1,1,51.067344491111655,1,Medium
88,7.71881980598245,90,6.701853731528813,1,6.719982084834747,9.719898233205763,2,1,61.11977170231892,1,Medium
68,0.12203072318044517,92,9.702242528680863,5,2.7145826852456887,9.419144144336714,3,0,51.20821602397925,1,Medium
72,5.9844270120522705,58,5.413577307621767,1,5.671192902186529,8.282237552060243,3,0,47.12191875342199,1,Medium
60,5.655083473229738,81,9.654436860304042,1,7.950271803025377,8.908873486766808,1,1,52.00074728558013,1,Medium
60,7.161790747329522,74,9.133573299655092,1,2.5170312714815903,8.00399109800616,2,0,58.19079886982947,1,Medium
73,5.990293647773265,85,5.649649622678506,2,5.3921402790717385,4.753492616260964,1,0,48.3231877365749,1,Medium
85,8.267988278090783,65,7.824921788376268,2,6.7545189132190595,8.593260218135216,5,1,63.09777962817371,1,Medium
89,9.590747945640278,90,9.332739908745435,5,7.326460666805378,5.261151812313078,3,0,69.44538291964828,1,Medium
73,3.425242571785434,44,7.859045818035769,1,5.7434615275208145,5.94065713060118,4,1,43.113706476947314,1,Medium
52,2.2735098302998704,68,9.53599910780311,3,2.26886338733709,8.915405272614521,1,0,46.40546380457814,1,Medium
71,4.235968624204829,76,9.714919084080211,5,2.6102572125515717,7.219153650360689,5,1,61.516408211851335,1,Medium
51,2.8792961647572612,59,7.111922610921529,1,0.16606425699171368,9.159644285100455,3,1,46.56979328510907,1,Medium
73,6.149502631526545,88,6.886568307031618,1,6.087087821372077,5.278211919059585,2,1,52.225180157286395,1,Medium
93,9.118524088429647,60,9.681605769845785,2,0.341916848495611,7.646670631641323,3,0,70.66180500107816,1,High
79,1.3911619414306187,49,8.37570030574834,5,6.917218836821966,4.50274583528957,2,1,40.20129585184427,1,Medium
87,1.007946030158865,44,5.580113406740846,1,0.9492849157963104,7.858365961240178,2,0,38.48452474064225,0,Low
51,2.560155318536622,75,5.211458746113406,1,1.375012097087394,8.57520422665321,1,1,41.67396748841418,1,Medium
70,7.260955860624008,45,7.823145254986316,5,3.8122117666578985,7.50958536387233,1,1,56.45708479028584,1,Medium
82,5.929629052588216,65,9.650854827192124,3,5.903043321349939,5.597389008992861,3,1,57.14535330765343,1,Medium
61,1.022126642251996,43,9.221243512029092,5,1.1120176415926215,4.188056013153201,5,0,44.01620624194591,1,Medium
71,9.187505222607465,78,8.379238732321681,5,3.5205686005319876,4.716693303785714,3,0,65.90457253230848,1,Medium
93,7.900846371240867,78,5.695579244455438,3,3.8628101952808382,7.733817874444157,4,1,64.3830380053376,1,Medium
74,0.23022604787637513,89,6.271156918743478,5,1.6982851333487305,9.606521301055082,2,0,46.938906340248735,1,Medium
98,6.513672109882461,74,9.37755613276308,1,0.9244670134450539,5.239206423832038,2,0,62.155452278279746,1,Medium
76,7.71246668519738,40,5.9140361832845025,5,6.691367383885116,8.410156894630592,1,0,51.16847127500804,1,Medium
91,3.74435369720422,63,6.392197041252173,3,4.019725198102124,9.198706379494249,5,1,54.42848439140737,1,Medium
77,0.6892153936721879,96,5.64800325597721,4,0.11504988787322379,7.125293070685066,1,0,46.373963283286855,1,Medium
65,0.7732106548878726,75,8.380541157072056,5,6.423850410472831,8.015594775061945,4,1,45.59168404365139,1,Medium
64,1.042469660518095,45,9.719911526816048,2,7.846350443316679,8.890091900056888,3,1,38.857259923245294,0,Low
96,8.40439631980423,80,6.34484015797693,1,4.847409563313978,5.564050946443562,3,1,61.75387968299466,1,Medium
