Attendance,StudyHours,AssignmentScore,PreviousGPA,ParticipationLevel,InternetUsage,SleepHours,FamilySupportIndex,ExtraCurricular,FinalExamScore
98,3.095085040550458,93,9.09562488708266,2,1.6605247917078516,7.65396138051484,1,0,73.67352005856318
88,9.20014913478484,58,7.410410423715433,1,3.349027103342644,8.34516525240984,4,1,80.86092516111525
74,8.991120620500123,70,9.299151425111146,2,2.0820140124731994,5.861851629102921,5,1,86.1208205385439
67,6.779304817362466,73,8.062637623425815,4,5.597206140759798,5.481927289753871,3,0,70.83251454897939
80,6.804134883469227,83,7.853174613091188,1,5.535870837621433,8.406148687591703,1,0,72.96762794654559
98,7.320293396370044,71,6.181613125874771,4,3.0142309198325727,5.626451259570599,1,0,75.65544412110911
78,3.4029702289875967,52,7.160116774595624,2,1.967303964109551,8.899040325344782,1,1,59.0333561591105
82,9.315295567399678,61,9.724039883541199,1,4.4227944837398345,8.370152917594549,3,1,84.84741473854443
70,5.350164199136585,77,7.567295853134,2,0.22027766089839984,7.003506423558397,4,0,72.69167036798817
70,5.06510822599598,79,8.186802082227073,1,2.8486140362619077,8.9256856996881,1,0,67.66008209017879
83,6.1513416422627,75,8.128086715937007,2,2.0179403656220014,5.389506916432017,5,0,76.12721834516171
95,2.3757277342004404,97,8.361724359290774,4,5.523215310615328,6.212263044700407,1,1,69.93506088709637
99,3.3302669500486353,70,6.2453238225731305,4,0.07201816363609526,7.552897660162445,4,1,70.59563559358195
83,7.9042689314109635,77,7.448705019194913,2,3.3168892543100945,6.400027473892715,3,0,78.30125537657655
62,2.6623893434010117,75,8.892513095530216,1,4.443981486399756,8.713490207923167,1,0,58.88620887870492
81,6.825216875731106,82,6.802241004291932,3,2.9101079251442474,5.26250435271127,1,1,74.26374006642084
61,3.9627928774505676,70,6.814313510185442,4,0.51241818097633,7.197647328243859,5,1,67.2742388592758
83,5.114364912335812,84,6.040362426756099,4,5.834768340167413,7.363465069580458,5,0,70.47013574667636
89,4.309549894165599,83,7.749927706432839,3,3.1080625882565878,7.610912495108897,1,0,70.90135420226984
97,4.845381731719593,90,9.530937522693687,2,3.685117465914068,6.022664893327258,1,0,75.76843259372188
61,7.752367241473964,100,6.207603774349236,1,1.419658696245044,6.458265710079457,5,1,78.69932432718437
80,4.3769737249854,96,6.764474837984011,2,2.900988510640823,8.37472211865991,4,0,71.80615814173126
92,6.5312371223751775,67,7.24033815337102,5,2.574896951749931,5.779771075880639,2,1,76.96223601263294
71,5.808403217592797,60,8.926898946256852,4,0.4493750520119024,8.307471388693449,2,1,74.09198731936114
81,7.309369322901185,72,8.562542371210347,5,0.6369621212848033,7.25062169161097,1,0,80.62240256516094
84,9.494637914598064,97,7.663775618327421,4,5.024835117712647,8.048750044776328,5,0,91.07096256721779
86,7.860576777682002,71,9.036275757033502,4,1.4389197132395415,7.854429465053887,3,1,87.03392740165677
87,3.719523028726054,66,8.438524046627608,5,1.1697496289917833,5.8300459815395165,3,0,69.19339414520032
75,2.2494650804902774,54,9.584163198628875,5,3.0294687075008353,7.2752509457354915,2,1,63.87043713865581
74,4.098112354398601,93,9.272106996554772,2,4.612482788175077,8.47089261122037,4,0,73.84090583639056
62,6.760623445602039,60,7.011254424356802,5,0.3716791114739275,6.728464947207717,2,0,69.55342424374612
96,2.411406507874003,79,7.085754310536801,2,3.460847517829535,8.866363080893267,1,0,62.60127357408988
66,5.970929977609891,64,6.501425903169542,2,0.7152626570434402,6.808860400406872,4,0,68.37879006997456
80,6.774742791335114,76,7.347858902869826,2,0.21876630495371074,5.571142546671538,3,1,76.2820423367319
68,4.673951126535687,84,9.998175674876377,4,0.31646371297330433,6.557738720310693,5,1,81.14657554510708
98,8.167297629966576,82,7.623004674460244,4,5.004984649250648,8.806809625562149,5,1,88.19635095329376
77,2.8527860250701744,69,6.881953738756426,5,0.7078349017683694,6.278883397359417,1,0,61.78557562691022
63,2.60110225388647,65,9.049931537902212,4,0.2709081864737517,8.472392639468252,2,1,65.14258630858335
84,7.825510049628827,83,8.169884013850623,5,2.6273993228574737,8.525002726727559,1,1,85.03540284570782
73,5.963930529649588,51,6.598405798107811,4,5.063960831652149,6.400746097327844,5,1,67.62267331477405
68,7.507219171421888,84,7.522758724643463,1,1.5744502589358116,5.3330306322025285,3,0,75.04643345586717
85,5.47861870882997,89,7.657878862157373,1,2.530275705155498,7.898231636635273,5,1,77.99375130809995
61,3.9712162659128545,77,9.015318802276875,5,0.23953519538250734,6.246049196055944,4,0,70.54208493088375
79,8.552818541393599,96,6.082685475567618,4,2.6944710848092552,8.131694457030289,5,0,86.42562428660251
87,8.395327031751833,88,7.076078587193242,4,3.465678483822802,6.770619393041732,5,1,87.6308702830976
66,7.557571766835414,55,8.070385205262088,2,3.4254423225128687,6.941066969370486,4,0,71.70749604148169
